,Disaster Type,Disaster Number,Incident Type,Title,Incident Begin Date,State ,Declared County/Area,FIPS Code
2353,DR,1119,Fire,WILDLAND FIRES,6/2/1996,AK,Matanuska-Susitna (Borough),2170
2497,DR,1477,Fire,ASPEN FIRE,6/17/2003,AZ,Pima (County),4019
2506,DR,1422,Fire,WILDFIRES,6/18/2002,AZ,Apache (County),4001
2507,DR,1422,Fire,WILDFIRES,6/18/2002,AZ,Coconino (County),4005
2508,DR,1422,Fire,WILDFIRES,6/18/2002,AZ,Gila (County),4007
2509,DR,1422,Fire,WILDFIRES,6/18/2002,AZ,Navajo (County),4017
3702,DR,4407,Fire,WILDFIRES,11/8/2018,CA,Butte (County),6007
3703,DR,4407,Fire,WILDFIRES,11/8/2018,CA,Los Angeles (County),6037
3704,DR,4407,Fire,WILDFIRES,11/8/2018,CA,Ventura (County),6111
3708,DR,4382,Fire,WILDFIRES AND HIGH WINDS,7/23/2018,CA,Lake (County),6033
3709,DR,4382,Fire,WILDFIRES AND HIGH WINDS,7/23/2018,CA,Shasta (County),6089
3711,DR,4353,Fire,"WILDFIRES, FLOODING, MUDFLOWS, AND DEBRIS FLOWS",12/4/2017,CA,Los Angeles (County),6037
3712,DR,4353,Fire,"WILDFIRES, FLOODING, MUDFLOWS, AND DEBRIS FLOWS",12/4/2017,CA,San Diego (County),6073
3713,DR,4353,Fire,"WILDFIRES, FLOODING, MUDFLOWS, AND DEBRIS FLOWS",12/4/2017,CA,Santa Barbara (County),6083
3714,DR,4353,Fire,"WILDFIRES, FLOODING, MUDFLOWS, AND DEBRIS FLOWS",12/4/2017,CA,Ventura (County),6111
3720,DR,4344,Fire,WILDFIRES,10/8/2017,CA,Butte (County),6007
3721,DR,4344,Fire,WILDFIRES,10/8/2017,CA,Lake (County),6033
3722,DR,4344,Fire,WILDFIRES,10/8/2017,CA,Mendocino (County),6045
3723,DR,4344,Fire,WILDFIRES,10/8/2017,CA,Napa (County),6055
3724,DR,4344,Fire,WILDFIRES,10/8/2017,CA,Nevada (County),6057
3725,DR,4344,Fire,WILDFIRES,10/8/2017,CA,Orange (County),6059
3726,DR,4344,Fire,WILDFIRES,10/8/2017,CA,Solano (County),6095
3727,DR,4344,Fire,WILDFIRES,10/8/2017,CA,Sonoma (County),6097
3728,DR,4344,Fire,WILDFIRES,10/8/2017,CA,Yuba (County),6115
3834,DR,4240,Fire,VALLEY FIRE AND BUTTE FIRE,9/9/2015,CA,Calaveras (County),6009
3835,DR,4240,Fire,VALLEY FIRE AND BUTTE FIRE,9/9/2015,CA,Lake (County),6033
3839,DR,4158,Fire,RIM FIRE,8/17/2013,CA,Tuolumne (County),6109
3882,DR,1810,Fire,WILDFIRES,11/13/2008,CA,Los Angeles (County),6037
3883,DR,1810,Fire,WILDFIRES,11/13/2008,CA,Orange (County),6059
3884,DR,1810,Fire,WILDFIRES,11/13/2008,CA,Riverside (County),6065
3885,DR,1810,Fire,WILDFIRES,11/13/2008,CA,Santa Barbara (County),6083
3920,DR,1731,Fire,"WILDFIRES, FLOODING, MUD FLOWS, AND DEBRIS FLOWS",10/21/2007,CA,Los Angeles (County),6037
3921,DR,1731,Fire,"WILDFIRES, FLOODING, MUD FLOWS, AND DEBRIS FLOWS",10/21/2007,CA,Orange (County),6059
3922,DR,1731,Fire,"WILDFIRES, FLOODING, MUD FLOWS, AND DEBRIS FLOWS",10/21/2007,CA,Riverside (County),6065
3923,DR,1731,Fire,"WILDFIRES, FLOODING, MUD FLOWS, AND DEBRIS FLOWS",10/21/2007,CA,San Bernardino (County),6071
3924,DR,1731,Fire,"WILDFIRES, FLOODING, MUD FLOWS, AND DEBRIS FLOWS",10/21/2007,CA,San Diego (County),6073
3925,DR,1731,Fire,"WILDFIRES, FLOODING, MUD FLOWS, AND DEBRIS FLOWS",10/21/2007,CA,Santa Barbara (County),6083
3926,DR,1731,Fire,"WILDFIRES, FLOODING, MUD FLOWS, AND DEBRIS FLOWS",10/21/2007,CA,Ventura (County),6111
4133,DR,1498,Fire,"WILDFIRES, FLOODING, MUDFLOW AND DEBRIS FLOW DIRECTLY RELATED T ",10/21/2003,CA,Los Angeles (County),6037
4134,DR,1498,Fire,"WILDFIRES, FLOODING, MUDFLOW AND DEBRIS FLOW DIRECTLY RELATED T ",10/21/2003,CA,Riverside (County),6065
4135,DR,1498,Fire,"WILDFIRES, FLOODING, MUDFLOW AND DEBRIS FLOW DIRECTLY RELATED T ",10/21/2003,CA,San Bernardino (County),6071
4136,DR,1498,Fire,"WILDFIRES, FLOODING, MUDFLOW AND DEBRIS FLOW DIRECTLY RELATED T ",10/21/2003,CA,San Diego (County),6073
4137,DR,1498,Fire,"WILDFIRES, FLOODING, MUDFLOW AND DEBRIS FLOW DIRECTLY RELATED T ",10/21/2003,CA,Ventura (County),6111
4387,DR,1005,Fire,"FIRES, MUD/LANDSLIDES, FLOODING, SOIL EROSION",10/26/1993,CA,Los Angeles (County),6037
4388,DR,1005,Fire,"FIRES, MUD/LANDSLIDES, FLOODING, SOIL EROSION",10/26/1993,CA,Orange (County),6059
