,Disaster Type,Disaster Number,Incident Type,Title,Incident Begin Date,State ,Declared County/Area,FIPS Code
342,DR,4042,Earthquake,EARTHQUAKE,8/23/2011,VA,Albemarle (County),51003
343,DR,4042,Earthquake,EARTHQUAKE,8/23/2011,VA,Culpeper (County),51047
344,DR,4042,Earthquake,EARTHQUAKE,8/23/2011,VA,Fluvanna (County),51065
345,DR,4042,Earthquake,EARTHQUAKE,8/23/2011,VA,Goochland (County),51075
346,DR,4042,Earthquake,EARTHQUAKE,8/23/2011,VA,King George (County),51099
347,DR,4042,Earthquake,EARTHQUAKE,8/23/2011,VA,Louisa (County),51109
348,DR,4042,Earthquake,EARTHQUAKE,8/23/2011,VA,Northampton (County),51131
349,DR,4042,Earthquake,EARTHQUAKE,8/23/2011,VA,Orange (County),51137
350,DR,4042,Earthquake,EARTHQUAKE,8/23/2011,VA,Spotsylvania (County),51177
2322,DR,1440,Earthquake,EARTHQUAKE,11/3/2002,AK,Denali (Borough),2068
2323,DR,1440,Earthquake,EARTHQUAKE,11/3/2002,AK,Fairbanks North Star (Borough),2090
2324,DR,1440,Earthquake,EARTHQUAKE,11/3/2002,AK,Matanuska-Susitna (Borough),2170
2325,DR,1440,Earthquake,EARTHQUAKE,11/3/2002,AK,Southeast Fairbanks (Census Area),2240
2326,DR,1440,Earthquake,EARTHQUAKE,11/3/2002,AK,Valdez-Cordova (Census Area),2261
2327,DR,1440,Earthquake,EARTHQUAKE,11/3/2002,AK,Yukon-Koyukuk (Census Area),2290
3837,DR,4193,Earthquake,EARTHQUAKE,8/24/2014,CA,Napa (County),6055
3838,DR,4193,Earthquake,EARTHQUAKE,8/24/2014,CA,Solano (County),6095
3864,DR,1911,Earthquake,EARTHQUAKE,4/4/2010,CA,Imperial (County),6025
4130,DR,1505,Earthquake,EARTHQUAKE,12/22/2003,CA,San Luis Obispo (County),6079
4131,DR,1505,Earthquake,EARTHQUAKE,12/22/2003,CA,Santa Barbara (County),6083
4169,DR,1342,Earthquake,EARTHQUAKE,9/3/2000,CA,Napa (County),6055
4384,DR,1008,Earthquake, NORTHRIDGE EARTHQUAKE,1/17/1994,CA,Los Angeles (County),6037
4385,DR,1008,Earthquake, NORTHRIDGE EARTHQUAKE,1/17/1994,CA,Orange (County),6059
4386,DR,1008,Earthquake, NORTHRIDGE EARTHQUAKE,1/17/1994,CA,Ventura (County),6111
4422,DR,947,Earthquake,EARTHQUAKE & AFTERSHOCKS,6/28/1992,CA,Riverside (County),6065
4423,DR,947,Earthquake,EARTHQUAKE & AFTERSHOCKS,6/28/1992,CA,San Bernardino (County),6071
4424,DR,943,Earthquake,EARTHQUAKE & AFTERSHOCKS,4/25/1992,CA,Humboldt (County),6023
4469,DR,845,Earthquake,LOMA PRIETA EARTHQUAKE,10/17/1989,CA,Alameda (County),6001
4470,DR,845,Earthquake,LOMA PRIETA EARTHQUAKE,10/17/1989,CA,Contra Costa (County),6013
4471,DR,845,Earthquake,LOMA PRIETA EARTHQUAKE,10/17/1989,CA,Marin (County),6041
4472,DR,845,Earthquake,LOMA PRIETA EARTHQUAKE,10/17/1989,CA,Monterey (County),6053
4473,DR,845,Earthquake,LOMA PRIETA EARTHQUAKE,10/17/1989,CA,Sacramento (County),6067
4474,DR,845,Earthquake,LOMA PRIETA EARTHQUAKE,10/17/1989,CA,San Benito (County),6069
4475,DR,845,Earthquake,LOMA PRIETA EARTHQUAKE,10/17/1989,CA,San Francisco (County),6075
4476,DR,845,Earthquake,LOMA PRIETA EARTHQUAKE,10/17/1989,CA,San Joaquin (County),6077
4477,DR,845,Earthquake,LOMA PRIETA EARTHQUAKE,10/17/1989,CA,San Mateo (County),6081
4478,DR,845,Earthquake,LOMA PRIETA EARTHQUAKE,10/17/1989,CA,Santa Clara (County),6085
4479,DR,845,Earthquake,LOMA PRIETA EARTHQUAKE,10/17/1989,CA,Santa Cruz (County),6087
4480,DR,845,Earthquake,LOMA PRIETA EARTHQUAKE,10/17/1989,CA,Solano (County),6095
4490,DR,799,Earthquake,EARTHQUAKE & AFTERSHOCKS,10/1/1987,CA,Los Angeles (County),6037
4491,DR,799,Earthquake,EARTHQUAKE & AFTERSHOCKS,10/1/1987,CA,Orange (County),6059
4542,DR,682,Earthquake,COALINGA EARTHQUAKE,5/5/1983,CA,Kings (County),6031
4611,DR,609,Earthquake,EARTHQUAKE,10/19/1979,CA,Imperial (County),6025
4697,DR,299,Earthquake,SAN FERNANDO EARTHQUAKE,2/9/1971,CA,Los Angeles (County),6037
12748,DR,1415,Earthquake,EARTHQUAKE,4/20/2002,NY,Clinton (County),36019
12749,DR,1415,Earthquake,EARTHQUAKE,4/20/2002,NY,Essex (County),36031
12750,DR,1415,Earthquake,EARTHQUAKE,4/20/2002,NY,Franklin (County),36033
12751,DR,1415,Earthquake,EARTHQUAKE,4/20/2002,NY,Hamilton (County),36041
12752,DR,1415,Earthquake,EARTHQUAKE,4/20/2002,NY,Warren (County),36113
12753,DR,1415,Earthquake,EARTHQUAKE,4/20/2002,NY,Washington (County),36115
13355,DR,1664,Earthquake,EARTHQUAKE,10/15/2006,HI,Hawaii (County),15001
13356,DR,1664,Earthquake,EARTHQUAKE,10/15/2006,HI,Honolulu (County),15003
13357,DR,1664,Earthquake,EARTHQUAKE,10/15/2006,HI,Kauai (County),15007
13358,DR,1664,Earthquake,EARTHQUAKE,10/15/2006,HI,Maui (County),15009
13388,DR,490,Earthquake,"EARTHQUAKE, SEISMIC WAVES & VOLCANIC ERUPTION",12/7/1975,HI,Hawaii (County),15001
13391,DR,383,Earthquake,EARTHQUAKE,5/16/1973,HI,Hawaii (County),15001
19613,DR,1361,Earthquake,EARTHQUAKE,2/28/2001,WA,Benton (County),53005
19614,DR,1361,Earthquake,EARTHQUAKE,2/28/2001,WA,Chelan (County),53007
19615,DR,1361,Earthquake,EARTHQUAKE,2/28/2001,WA,Clallam (County),53009
19616,DR,1361,Earthquake,EARTHQUAKE,2/28/2001,WA,Clark (County),53011
19617,DR,1361,Earthquake,EARTHQUAKE,2/28/2001,WA,Cowlitz (County),53015
19618,DR,1361,Earthquake,EARTHQUAKE,2/28/2001,WA,Douglas (County),53017
19619,DR,1361,Earthquake,EARTHQUAKE,2/28/2001,WA,Grays Harbor (County),53027
19620,DR,1361,Earthquake,EARTHQUAKE,2/28/2001,WA,Island (County),53029
19621,DR,1361,Earthquake,EARTHQUAKE,2/28/2001,WA,Jefferson (County),53031
19622,DR,1361,Earthquake,EARTHQUAKE,2/28/2001,WA,King (County),53033
