Disaster Type,Disaster Number,Incident Type,Title,Year,State ,Declared County/Area,FIPS Code
DR,4411,Hurricane,TROPICAL STORM MICHAEL,2018,VA,Amelia (County),51007
DR,4411,Hurricane,TROPICAL STORM MICHAEL,2018,VA,Appomattox (County),51011
DR,4411,Hurricane,TROPICAL STORM MICHAEL,2018,VA,Brunswick (County),51025
DR,4411,Hurricane,TROPICAL STORM MICHAEL,2018,VA,Campbell (County),51031
DR,4411,Hurricane,TROPICAL STORM MICHAEL,2018,VA,Charlotte (County),51037
DR,4411,Hurricane,TROPICAL STORM MICHAEL,2018,VA,Chesterfield (County),51041
DR,4411,Hurricane,TROPICAL STORM MICHAEL,2018,VA,Cumberland (County),51049
DR,4411,Hurricane,TROPICAL STORM MICHAEL,2018,VA,Dinwiddie (County),51053
DR,4411,Hurricane,TROPICAL STORM MICHAEL,2018,VA,Essex (County),51057
DR,4411,Hurricane,TROPICAL STORM MICHAEL,2018,VA,Floyd (County),51063
DR,4411,Hurricane,TROPICAL STORM MICHAEL,2018,VA,Fluvanna (County),51065
DR,4411,Hurricane,TROPICAL STORM MICHAEL,2018,VA,Franklin (County),51067
DR,4411,Hurricane,TROPICAL STORM MICHAEL,2018,VA,Halifax (County),51083
DR,4411,Hurricane,TROPICAL STORM MICHAEL,2018,VA,King and Queen (County),51097
DR,4411,Hurricane,TROPICAL STORM MICHAEL,2018,VA,Lunenburg (County),51111
DR,4411,Hurricane,TROPICAL STORM MICHAEL,2018,VA,Montgomery (County),51121
DR,4411,Hurricane,TROPICAL STORM MICHAEL,2018,VA,New Kent (County),51127
DR,4411,Hurricane,TROPICAL STORM MICHAEL,2018,VA,Northumberland (County),51133
DR,4411,Hurricane,TROPICAL STORM MICHAEL,2018,VA,Nottoway (County),51135
DR,4411,Hurricane,TROPICAL STORM MICHAEL,2018,VA,Pittsylvania (County),51143
DR,4411,Hurricane,TROPICAL STORM MICHAEL,2018,VA,Powhatan (County),51145
DR,4411,Hurricane,TROPICAL STORM MICHAEL,2018,VA,Prince Edward (County),51147
DR,4411,Hurricane,TROPICAL STORM MICHAEL,2018,VA,Rappahannock (County),51157
DR,4411,Hurricane,TROPICAL STORM MICHAEL,2018,VA,Richmond (County),51159
DR,4411,Hurricane,TROPICAL STORM MICHAEL,2018,VA,Roanoke (County),51161
DR,4401,Hurricane,HURRICANE FLORENCE,2018,VA,Botetourt (County),51023
DR,4401,Hurricane,HURRICANE FLORENCE,2018,VA,Charles City (County),51036
DR,4401,Hurricane,HURRICANE FLORENCE,2018,VA,Chesterfield (County),51041
DR,4401,Hurricane,HURRICANE FLORENCE,2018,VA,Craig (County),51045
DR,4401,Hurricane,HURRICANE FLORENCE,2018,VA,Floyd (County),51063
DR,4401,Hurricane,HURRICANE FLORENCE,2018,VA,Franklin (County),51067
DR,4401,Hurricane,HURRICANE FLORENCE,2018,VA,Grayson (County),51077
DR,4401,Hurricane,HURRICANE FLORENCE,2018,VA,Halifax (County),51083
DR,4401,Hurricane,HURRICANE FLORENCE,2018,VA,Henry (County),51089
DR,4401,Hurricane,HURRICANE FLORENCE,2018,VA,Isle of Wight (County),51093
DR,4401,Hurricane,HURRICANE FLORENCE,2018,VA,King and Queen (County),51097
DR,4401,Hurricane,HURRICANE FLORENCE,2018,VA,King William (County),51101
DR,4401,Hurricane,HURRICANE FLORENCE,2018,VA,Lancaster (County),51103
