Year,Hurricanes,Earthquakes,Floods,Tornadoes,Fires,Total ALL Disasters
1965,3.0,1.0,9.0,7.0,,25
1967,1.0,,5.0,2.0,1.0,9
1968,1.0,,10.0,6.0,,18
1969,5.0,,21.0,2.0,,28
1970,1.0,,12.0,1.0,1.0,17
1971,1.0,1.0,10.0,3.0,,16
1974,1.0,,31.0,10.0,,44
1976,1.0,,18.0,2.0,,26
1979,5.0,1.0,21.0,7.0,,39
1980,1.0,,12.0,4.0,1.0,22
1983,1.0,2.0,13.0,,,24
1984,2.0,,19.0,7.0,,32
1985,11.0,,11.0,2.0,1.0,28
1988,1.0,,1.0,3.0,1.0,6
1989,4.0,1.0,17.0,5.0,,33
1991,6.0,,8.0,2.0,2.0,30
1992,3.0,2.0,17.0,8.0,2.0,42
1993,1.0,2.0,15.0,3.0,1.0,30
1995,6.0,,6.0,3.0,,36
1996,6.0,,25.0,,2.0,78
1998,9.0,,6.0,2.0,1.0,67
1999,16.0,,3.0,5.0,,43
2002,4.0,2.0,4.0,3.0,2.0,45
2003,8.0,1.0,,1.0,2.0,52
2004,15.0,,1.0,,,64
2005,11.0,,2.0,2.0,2.0,52
2008,9.0,,4.0,,1.0,79
2009,1.0,,2.0,1.0,1.0,62
2010,2.0,1.0,9.0,2.0,,73
2011,16.0,2.0,16.0,1.0,2.0,96
2012,17.0,,3.0,,3.0,47
2016,6.0,,14.0,1.0,1.0,37
2017,11.0,,12.0,4.0,2.0,58
2018,8.0,,15.0,1.0,3.0,47
1973,,1.0,33.0,3.0,1.0,45
1975,,1.0,23.0,8.0,,37
1987,,1.0,11.0,4.0,,19
1994,,1.0,3.0,2.0,,35
2000,,1.0,2.0,3.0,3.0,49
2001,,1.0,5.0,,1.0,41
2006,,1.0,1.0,,,46
2014,,1.0,8.0,2.0,1.0,39
1959,,,1.0,,,1
1964,,,4.0,,,4
1966,,,9.0,1.0,,10
1972,,,42.0,,,47
1977,,,15.0,1.0,,22
1978,,,20.0,1.0,,24
1981,,,8.0,,1.0,14
1982,,,16.0,2.0,1.0,22
1986,,,22.0,3.0,,25
1990,,,21.0,1.0,1.0,38
1997,,,11.0,1.0,,34
2007,,,1.0,,1.0,59
2013,,,14.0,2.0,3.0,57
2015,,,10.0,,2.0,48
