,Disaster Type,Disaster Number,Incident Type,Title,Incident Begin Date,State ,Declared County/Area,FIPS Code
2043,DR,4385,Tornado,"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS ",5/15/2018,CT,"Fairfield (County)(in PMSA 1160,1930,5760,8040)",9001
2044,DR,4385,Tornado,"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS ",5/15/2018,CT,"New Haven (County)(in (P)MSA 1160,5480,8880)",9009
2203,DR,837,Tornado,SEVERE STORMS & TORNADOES,7/10/1989,CT,"Litchfield (County)(in (P)MSA 1170,1930,3280,8880)",9005
2204,DR,837,Tornado,SEVERE STORMS & TORNADOES,7/10/1989,CT,"New Haven (County)(in (P)MSA 1160,5480,8880)",9009
2227,DR,608,Tornado,TORNADO & SEVERE STORMS,10/4/1979,CT,"Hartford (County)(in PMSA 1170,3280,5440)",9003
3483,DR,737,Tornado,"SEVERE STORMS, HIGH WINDS & TORNADOES",5/31/1985,PA,Beaver (County),42007
3484,DR,737,Tornado,"SEVERE STORMS, HIGH WINDS & TORNADOES",5/31/1985,PA,Clearfield (County),42033
3485,DR,737,Tornado,"SEVERE STORMS, HIGH WINDS & TORNADOES",5/31/1985,PA,Crawford (County),42039
3486,DR,737,Tornado,"SEVERE STORMS, HIGH WINDS & TORNADOES",5/31/1985,PA,Erie (County),42049
3487,DR,737,Tornado,"SEVERE STORMS, HIGH WINDS & TORNADOES",5/31/1985,PA,Forest (County),42053
3488,DR,737,Tornado,"SEVERE STORMS, HIGH WINDS & TORNADOES",5/31/1985,PA,Lycoming (County),42081
3489,DR,737,Tornado,"SEVERE STORMS, HIGH WINDS & TORNADOES",5/31/1985,PA,McKean (County),42083
3490,DR,737,Tornado,"SEVERE STORMS, HIGH WINDS & TORNADOES",5/31/1985,PA,Mercer (County),42085
3491,DR,737,Tornado,"SEVERE STORMS, HIGH WINDS & TORNADOES",5/31/1985,PA,Northumberland (County),42097
3492,DR,737,Tornado,"SEVERE STORMS, HIGH WINDS & TORNADOES",5/31/1985,PA,Union (County),42119
3493,DR,737,Tornado,"SEVERE STORMS, HIGH WINDS & TORNADOES",5/31/1985,PA,Venango (County),42121
5904,DR,848,Tornado,SEVERE STORMS & TORNADOES,11/15/1989,AL,Jackson (County),1071
5905,DR,848,Tornado,SEVERE STORMS & TORNADOES,11/15/1989,AL,Madison (County),1089
6098,DR,422,Tornado,TORNADOES,4/4/1974,AL,Blount (County),1009
6099,DR,422,Tornado,TORNADOES,4/4/1974,AL,Cherokee (County),1019
6100,DR,422,Tornado,TORNADOES,4/4/1974,AL,Cleburne (County),1029
6101,DR,422,Tornado,TORNADOES,4/4/1974,AL,Colbert (County),1033
6102,DR,422,Tornado,TORNADOES,4/4/1974,AL,Cullman (County),1043
6103,DR,422,Tornado,TORNADOES,4/4/1974,AL,Etowah (County),1055
6104,DR,422,Tornado,TORNADOES,4/4/1974,AL,Fayette (County),1057
6105,DR,422,Tornado,TORNADOES,4/4/1974,AL,Franklin (County),1059
6106,DR,422,Tornado,TORNADOES,4/4/1974,AL,Jackson (County),1071
6107,DR,422,Tornado,TORNADOES,4/4/1974,AL,Jefferson (County),1073
6108,DR,422,Tornado,TORNADOES,4/4/1974,AL,Lamar (County),1075
6109,DR,422,Tornado,TORNADOES,4/4/1974,AL,Lawrence (County),1079
6110,DR,422,Tornado,TORNADOES,4/4/1974,AL,Limestone (County),1083
6111,DR,422,Tornado,TORNADOES,4/4/1974,AL,Madison (County),1089
6112,DR,422,Tornado,TORNADOES,4/4/1974,AL,Marion (County),1093
6113,DR,422,Tornado,TORNADOES,4/4/1974,AL,Morgan (County),1103
6114,DR,422,Tornado,TORNADOES,4/4/1974,AL,Pickens (County),1107
6115,DR,422,Tornado,TORNADOES,4/4/1974,AL,Tuscaloosa (County),1125
6116,DR,422,Tornado,TORNADOES,4/4/1974,AL,Walker (County),1127
6117,DR,422,Tornado,TORNADOES,4/4/1974,AL,Winston (County),1133
6130,DR,369,Tornado,TORNADOES & FLOODING,3/27/1973,AL,Baldwin (County),1003
6131,DR,369,Tornado,TORNADOES & FLOODING,3/27/1973,AL,Chilton (County),1021
6132,DR,369,Tornado,TORNADOES & FLOODING,3/27/1973,AL,Choctaw (County),1023
6133,DR,369,Tornado,TORNADOES & FLOODING,3/27/1973,AL,Clarke (County),1025
6134,DR,369,Tornado,TORNADOES & FLOODING,3/27/1973,AL,Colbert (County),1033
6135,DR,369,Tornado,TORNADOES & FLOODING,3/27/1973,AL,Cullman (County),1043
6136,DR,369,Tornado,TORNADOES & FLOODING,3/27/1973,AL,DeKalb (County),1049
6137,DR,369,Tornado,TORNADOES & FLOODING,3/27/1973,AL,Escambia (County),1053
6138,DR,369,Tornado,TORNADOES & FLOODING,3/27/1973,AL,Etowah (County),1055
6139,DR,369,Tornado,TORNADOES & FLOODING,3/27/1973,AL,Franklin (County),1059
6140,DR,369,Tornado,TORNADOES & FLOODING,3/27/1973,AL,Greene (County),1063
6141,DR,369,Tornado,TORNADOES & FLOODING,3/27/1973,AL,Hale (County),1065
6142,DR,369,Tornado,TORNADOES & FLOODING,3/27/1973,AL,Jackson (County),1071
6143,DR,369,Tornado,TORNADOES & FLOODING,3/27/1973,AL,Lamar (County),1075
6144,DR,369,Tornado,TORNADOES & FLOODING,3/27/1973,AL,Lauderdale (County),1077
6145,DR,369,Tornado,TORNADOES & FLOODING,3/27/1973,AL,Lawrence (County),1079
6146,DR,369,Tornado,TORNADOES & FLOODING,3/27/1973,AL,Limestone (County),1083
6147,DR,369,Tornado,TORNADOES & FLOODING,3/27/1973,AL,Madison (County),1089
6148,DR,369,Tornado,TORNADOES & FLOODING,3/27/1973,AL,Marion (County),1093
6149,DR,369,Tornado,TORNADOES & FLOODING,3/27/1973,AL,Marshall (County),1095
6150,DR,369,Tornado,TORNADOES & FLOODING,3/27/1973,AL,Mobile (County),1097
6151,DR,369,Tornado,TORNADOES & FLOODING,3/27/1973,AL,Morgan (County),1103
6152,DR,369,Tornado,TORNADOES & FLOODING,3/27/1973,AL,St. Clair (County),1115
6153,DR,369,Tornado,TORNADOES & FLOODING,3/27/1973,AL,Sumter (County),1119
6154,DR,369,Tornado,TORNADOES & FLOODING,3/27/1973,AL,Tuscaloosa (County),1125
6155,DR,369,Tornado,TORNADOES & FLOODING,3/27/1973,AL,Walker (County),1127
6156,DR,369,Tornado,TORNADOES & FLOODING,3/27/1973,AL,Wilcox (County),1131
6157,DR,369,Tornado,TORNADOES & FLOODING,3/27/1973,AL,Winston (County),1133
6179,DR,4275,Tornado,TORNADO,6/11/2016,MT,Fallon (County),30025
7558,DR,1273,Tornado,SEVERE STORMS AND TORNADOES,5/3/1999,KS,Reno (County),20155
7559,DR,1273,Tornado,SEVERE STORMS AND TORNADOES,5/3/1999,KS,Sedgwick (County),20173
7560,DR,1273,Tornado,SEVERE STORMS AND TORNADOES,5/3/1999,KS,Sumner (County),20191
7652,DR,903,Tornado,SEVERE STORMS & TORNADOES,4/26/1991,KS,Butler (County),20015
7653,DR,903,Tornado,SEVERE STORMS & TORNADOES,4/26/1991,KS,Cowley (County),20035
7654,DR,903,Tornado,SEVERE STORMS & TORNADOES,4/26/1991,KS,Jefferson (County),20087
7655,DR,903,Tornado,SEVERE STORMS & TORNADOES,4/26/1991,KS,Sedgwick (County),20173
7656,DR,903,Tornado,SEVERE STORMS & TORNADOES,4/26/1991,KS,Wabaunsee (County),20197
7657,DR,903,Tornado,SEVERE STORMS & TORNADOES,4/26/1991,KS,Washington (County),20201
7817,DR,267,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",7/15/1969,KS,Allen (County),20001
7818,DR,267,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",7/15/1969,KS,Anderson (County),20003
7819,DR,267,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",7/15/1969,KS,Bourbon (County),20011
7820,DR,267,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",7/15/1969,KS,Crawford (County),20037
7821,DR,267,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",7/15/1969,KS,Dickinson (County),20041
